web-scraper-order,web-scraper-start-url,category-links,category-links-href,subcategory-links,subcategory-links-href,product-links,product-links-href,name,price
"1645362411-28","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tablet","https://els.id/smartphone/tablet.html","Apple Ipad Mini Wifi MUU32PA/A (256GB) - Space Grey","https://els.id/apple-ipad-mini-wifi-muu32pa-a-256gb-space-grey.html","Apple Ipad Mini Wifi MUU32PA/A (256GB) - Space Grey","IDR10,160,000"
"1645362553-86","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Asus VivoBook A416FA-FHD324 - Slate Grey [i3 10110U-4GB-SSD 256GB]","https://els.id/asus-vivobook-a416fa-fhd324-slate-grey-i3-10110u-4gb-ssd-256gb.html","Asus VivoBook A416FA-FHD324 - Slate Grey [i3 10110U-4GB-SSD 256GB]","IDR7,199,000"
"1645362542-81","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Lenovo V14-ADA ERID - Grey [AMD Dual Core 3020e-8GB-SSD 256GB]","https://els.id/lenovo-v14-ada-erid-grey-amd-dual-core-3020e-8gb-ssd-256gb.html","Lenovo V14-ADA ERID - Grey [AMD Dual Core 3020e-8GB-SSD 256GB]","IDR5,449,000"
"1645362555-87","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Asus VivoBook A516KA-FHD421 - Grey [Celeron N4500-4GB-SSD 256GB]","https://els.id/asus-vivobook-a516ka-fhd421-grey-celeron-n4500-4gb-ssd-256gb.html","Asus VivoBook A516KA-FHD421 - Grey [Celeron N4500-4GB-SSD 256GB]","IDR5,999,000"
"1645362365-10","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC Tower HP-M01-F2005D (Pentium G6405) (LED HP V20 HD+)","https://els.id/pc-tower-hp-m01-f2005d-pentium-g6405-led-hp-v20-hd.html","PC Tower HP-M01-F2005D (Pentium G6405) (LED HP V20 HD+)","IDR6,799,000"
"1645362389-19","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","All In One Asus M241DAT-BA342W - Black (R3-3250U) (LED 24' FHD Touchscreen)","https://els.id/all-in-one-asus-m241dat-ba342w-black-r3-3250u-led-24-fhd-touchscreen.html","All In One Asus M241DAT-BA342W - Black (R3-3250U) (LED 24' FHD Touchscreen)","IDR8,099,000"
"1645362532-77","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","Acer Gaming Nitro AN515-57-98VC - Black [i9 11900H-16GB-SSD 512GB-RTX3060]","https://els.id/acer-gaming-nitro-an515-57-98vc-black-i9-11900h-16gb-ssd-512gb-rtx3060.html","Acer Gaming Nitro AN515-57-98VC - Black [i9 11900H-16GB-SSD 512GB-RTX3060]","IDR18,999,000"
"1645362438-39","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy M12 (M127F) (4/64GB) Duos - Blue","https://els.id/samsung-galaxy-m12-m127f-4-64gb-duos-blue.html","Samsung Galaxy M12 (M127F) (4/64GB) Duos - Blue","IDR1,999,000"
"1645362506-66","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Asus Zenbook UM325UA-OLED714 - Lilac Mist [Ryzen 7 5700U-16GB-SSD 1TB]","https://els.id/asus-zenbook-um325ua-oled714-lilac-mist-ryzen-7-5700u-16gb-ssd-1tb.html","Asus Zenbook UM325UA-OLED714 - Lilac Mist [Ryzen 7 5700U-16GB-SSD 1TB]","IDR16,999,000"
"1645362517-70","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","Lenovo Gaming 3i 15IHU6-E2ID - Black [i5 11300H-8GB-SSD 512GB-RTX3050]","https://els.id/lenovo-gaming-3i-15ihu6-e2id-black-i5-11300h-8gb-ssd-512gb-rtx3050.html","Lenovo Gaming 3i 15IHU6-E2ID - Black [i5 11300H-8GB-SSD 512GB-RTX3050]","IDR14,749,000"
"1645362456-46","https://els.id","Personal Computer","https://els.id/personal-computer.html","Macbook","https://els.id/laptop/macbook.html","Apple Macbook Air 13 2020 MGNE3ID - Gold [Apple M1-8GB-SSD 512GB-MacOS]","https://els.id/laptop-apple-macbook-air-13-2020-mgne3id-gold-apple-m1-8gb-ssd-512gb-macos.html","Apple Macbook Air 13 2020 MGNE3ID - Gold [Apple M1-8GB-SSD 512GB-MacOS]","IDR19,470,000"
"1645362530-76","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","Lenovo Gaming 3 15ACH6-36ID - Black [Ryzen 5 5600H-8GB-SSD 512GB-GTX1650]","https://els.id/lenovo-gaming-3-15ach6-36id-black-ryzen-5-5600h-8gb-ssd-512gb-gtx1650.html","Lenovo Gaming 3 15ACH6-36ID - Black [Ryzen 5 5600H-8GB-SSD 512GB-GTX1650]","IDR12,799,000"
"1645362549-84","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Asus VivoBook M513UA-OLED756 - Gold [Ryzen 7 5700U-8GB-SSD 512GB]","https://els.id/asus-vivobook-m513ua-oled756-gold-ryzen-7-5700u-8gb-ssd-512gb.html","Asus VivoBook M513UA-OLED756 - Gold [Ryzen 7 5700U-8GB-SSD 512GB]","IDR11,999,000"
"1645362483-57","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","Asus Zenbook DUO UX482EAR-EVO551+ (Duo Screen) - Blue [i5 1155G7-8GB-SSD 512GB-Optane 32GB]","https://els.id/asus-zenbook-duo-ux482ear-evo551-duo-screen-blue-i5-1155g7-8gb-ssd-512gb-optane-32gb.html","Asus Zenbook DUO UX482EAR-EVO551+ (Duo Screen) - Blue [i5 1155G7-8GB-SSD 512GB-Optane 32GB]","IDR19,999,000"
"1645362404-25","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tablet","https://els.id/smartphone/tablet.html","Huawei MatePad 10.4R - 10,4' (4/128) Midnight Grey - Wifi Only","https://els.id/huawei-matepad-10-4r-10-4-4-128-midnight-grey-wifi-only.html","Huawei MatePad 10.4R - 10,4' (4/128) Midnight Grey - Wifi Only","IDR3,999,000"
"1645362496-61","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Acer Swift X SFX14-41G-R2GM - Safari Gold [Ryzen 7 5800U-16GB-SSD 512GB-RTX3050Ti]","https://els.id/acer-swift-x-sfx14-41g-r2gm-safari-gold-ryzen-7-5800u-16gb-ssd-512gb-rtx3050ti.html","Acer Swift X SFX14-41G-R2GM - Safari Gold [Ryzen 7 5800U-16GB-SSD 512GB-RTX3050Ti]","IDR16,999,000"
"1645362504-65","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Asus Creator K3400PA-IPS554 - Quiet Blue [i5 11300H-8GB-SSD 512GB]","https://els.id/asus-creator-k3400pa-ips554-quiet-blue-i5-11300h-8gb-ssd-512gb.html","Asus Creator K3400PA-IPS554 - Quiet Blue [i5 11300H-8GB-SSD 512GB]","IDR11,999,000"
"1645362528-75","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","Asus Gaming TUF FX506LH-I765B9T-O - Black [i7 10870H-8GB-SSD 512GB-GTX1650]","https://els.id/asus-gaming-tuf-fx506lh-i765b9t-o-black-i7-10870h-8gb-ssd-512gb-gtx1650.html","Asus Gaming TUF FX506LH-I765B9T-O - Black [i7 10870H-8GB-SSD 512GB-GTX1650]","IDR15,999,000"
"1645362498-62","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Acer Swift X SFX14-41G-R5N1 - Safari Gold [Ryzen 7 5700U-16GB-SSD 512GB-RTX3050Ti]","https://els.id/acer-swift-x-sfx14-41g-r5n1-safari-gold-ryzen-7-5700u-16gb-ssd-512gb-rtx3050ti.html","Acer Swift X SFX14-41G-R5N1 - Safari Gold [Ryzen 7 5700U-16GB-SSD 512GB-RTX3050Ti]","IDR16,499,000"
"1645362538-80","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","MSI Gaming Katana GF76-12UC-057ID - Black [i7 12700H-8GB-SSD 512GB-RTX3050]","https://els.id/msi-gaming-katana-gf76-12uc-057id-black-i7-12700h-8gb-ssd-512gb-rtx3050.html","MSI Gaming Katana GF76-12UC-057ID - Black [i7 12700H-8GB-SSD 512GB-RTX3050]","IDR17,999,000"
"1645362441-40","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Asus ROG Phone 5s ZS673KS-1A028ID (8/128GB) 5G - Black","https://els.id/asus-rog-phone-5s-zs673ks-1a028id-8-128gb-5g-black.html","Asus ROG Phone 5s ZS673KS-1A028ID (8/128GB) 5G - Black","IDR9,199,000"
"1645362371-12","https://els.id","Personal Computer","https://els.id/personal-computer.html","Mini PC","https://els.id/personal-computer/mini-pc.html","Mini PC Intel NUC Kit 7I3BNHXF - Intel Core i3","https://els.id/mini-pc-intel-nuc-kit-7i3bnhxf-intel-core-i3.html","Mini PC Intel NUC Kit 7I3BNHXF - Intel Core i3","IDR4,360,000"
"1645362399-24","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","All In One LENOVO A340-24IWL (XHID) - Black (LED 24” FHD)","https://els.id/all-in-one-lenovo-a340-24iwl-xhid-black-led-24-fhd.html","All In One LENOVO A340-24IWL (XHID) - Black (LED 24” FHD)","IDR8,199,000"
"1645362383-16","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","All In One Lenovo IC3-24IMB05 (RYID) - Black (LED 24' FHD IPS)","https://els.id/all-in-one-lenovo-ic3-24imb05-ryid-black-led-24-fhd-ips.html","All In One Lenovo IC3-24IMB05 (RYID) - Black (LED 24' FHD IPS)","IDR10,499,000"
"1645362521-72","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","Acer Gaming Nitro AN515-57-52BQ - Black [i5 11400H-8GB-SSD 512GB-RTX3050]","https://els.id/acer-gaming-nitro-an515-57-52bq-black-i5-11400h-8gb-ssd-512gb-rtx3050.html","Acer Gaming Nitro AN515-57-52BQ - Black [i5 11400H-8GB-SSD 512GB-RTX3050]","IDR13,999,000"
"1645362363-9","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC Tower HP-M01-F2004D (i3-10105) (LED HP V20 HD+)","https://els.id/pc-tower-hp-m01-f2004d-i3-10105-led-hp-v20-hd.html","PC Tower HP-M01-F2004D (i3-10105) (LED HP V20 HD+)","IDR7,999,000"
"1645362468-50","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","HP Pavilion 14-dy0066TU Touch 360⁰ - Silver [i7 1165G7-8GB-SSD 512GB]","https://els.id/hp-pavilion-14-dy0066tu-touch-360-silver-i7-1165g7-8gb-ssd-512gb.html","HP Pavilion 14-dy0066TU Touch 360⁰ - Silver [i7 1165G7-8GB-SSD 512GB]","IDR15,099,000"
"1645362428-34","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A12 (A127) (6/128GB) Duos - Black","https://els.id/samsung-galaxy-a12-a127-6-128gb-duos-black.html","Samsung Galaxy A12 (A127) (6/128GB) Duos - Black","IDR2,499,000"
"1645362470-51","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","Lenovo Yoga Duet 7i-13ITL6 7MID (2in1) - Slate Grey [i5 1135G7-8GB-SSD 512GB]","https://els.id/lenovo-yoga-duet-7i-13itl6-7mid-2in1-slate-grey-i5-1135g7-8gb-ssd-512gb.html","Lenovo Yoga Duet 7i-13ITL6 7MID (2in1) - Slate Grey [i5 1135G7-8GB-SSD 512GB]","IDR18,299,000"
"1645362443-41","https://els.id","Personal Computer","https://els.id/personal-computer.html","Smartphone","https://els.id/smartphone/smartphone.html","Samsung Galaxy A52s (8/256GB) Duos 5G - Violet","https://els.id/samsung-galaxy-a52s-8-256gb-duos-5g-violet.html","Samsung Galaxy A52s (8/256GB) Duos 5G - Violet","IDR6,285,000"
"1645362361-8","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC Tower HP-M01-F2000D Graphics (i5-10400) (LED HP M22f FHD)","https://els.id/pc-tower-hp-m01-f2000d-graphics-i5-10400-led-hp-m22f-fhd.html","PC Tower HP-M01-F2000D Graphics (i5-10400) (LED HP M22f FHD)","IDR10,999,000"
"1645362350-3","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC Tower Asus S500SC-541000000W (LED 20' VX207DE) (NON DVD)","https://els.id/pc-tower-asus-s500sc-541000000w-led-20-vx207de-non-dvd.html","PC Tower Asus S500SC-541000000W (LED 20' VX207DE) (NON DVD)","IDR9,399,000"
"1645362393-21","https://els.id","Personal Computer","https://els.id/personal-computer.html","All In One PC","https://els.id/personal-computer/all-in-one-pc.html","Tower Asus S500TC-0G6410002W (Intel Pentium G6405) (LED 20' VX207DE)","https://els.id/tower-asus-s500tc-0g6410002w-intel-pentium-g6405-led-20-vx207de.html","Tower Asus S500TC-0G6410002W (Intel Pentium G6405) (LED 20' VX207DE)","IDR6,699,000"
"1645362544-82","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","Asus VivoBook A416KA-FHD421 - Silver [Celeron N4500-4GB-SSD 256GB]","https://els.id/asus-vivobook-a416ka-fhd421-silver-celeron-n4500-4gb-ssd-256gb.html","Asus VivoBook A416KA-FHD421 - Silver [Celeron N4500-4GB-SSD 256GB]","IDR5,999,000"
"1645362512-69","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","MSI Gaming Crosshair 15-B12UEZ-266ID [i7 12700H-16GB-SSD 1TB-RTX3060]","https://els.id/msi-gaming-crosshair-15-b12uez-266id-i7-12700h-16gb-ssd-1tb-rtx3060.html","MSI Gaming Crosshair 15-B12UEZ-266ID [i7 12700H-16GB-SSD 1TB-RTX3060]","IDR25,999,000"
"1645362519-71","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Gaming","https://els.id/laptop/laptop-gaming.html","Acer Gaming Helios 300 PH315-54-79WU - Black [i7 11800H-16GB-SSD 512GB-RTX3070]","https://els.id/acer-gaming-helios-300-ph315-54-79wu-black-i7-11800h-16gb-ssd-512gb-rtx3070.html","Acer Gaming Helios 300 PH315-54-79WU - Black [i7 11800H-16GB-SSD 512GB-RTX3070]","IDR27,499,000"
"1645362356-6","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","Tower Acer TC-1650 i3-10105 (LED 20' V206HQL)","https://els.id/tower-acer-tc-1650-i3-10105-led-20-v206hql.html","Tower Acer TC-1650 i3-10105 (LED 20' V206HQL)","IDR7,730,000"
"1645362358-7","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC Tower Asus S500TC-0G6410003W (Intel Pentium G6405) (LED 20' VX207DE)","https://els.id/pc-tower-asus-s500tc-0g6410003w-intel-pentium-g6405-led-20-vx207de.html","PC Tower Asus S500TC-0G6410003W (Intel Pentium G6405) (LED 20' VX207DE)","IDR6,699,000"
"1645362460-47","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop 2IN1 & 360","https://els.id/laptop/laptop-2in1-360.html","Lenovo YOGA 6-13ALC6 BFID Touch 360⁰ - Abyss Blue [Ryzen 5 5500U-16GB-SSD 512GB]","https://els.id/lenovo-yoga-6-13alc6-bfid-touch-360-abyss-blue-ryzen-5-5500u-16gb-ssd-512gb.html","Lenovo YOGA 6-13ALC6 BFID Touch 360⁰ - Abyss Blue [Ryzen 5 5500U-16GB-SSD 512GB]","IDR14,699,000"
"1645362452-44","https://els.id","Personal Computer","https://els.id/personal-computer.html","Macbook","https://els.id/laptop/macbook.html","Apple Macbook Pro 13 2020 MYD82ID - Grey [Apple M1-RAM 8GB-SSD 256GB]","https://els.id/apple-macbook-pro-13-2020-myd82id-grey-apple-m1-ram-8gb-ssd-256gb-macos.html","Apple Macbook Pro 13 2020 MYD82ID - Grey [Apple M1-RAM 8GB-SSD 256GB]","IDR19,760,000"
"1645362500-63","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Premium","https://els.id/laptop/laptop-premium.html","Acer Swift X SFX14-41G-R1L1 - Blue [Ryzen 5 5600U-16GB-SSD 512GB-RTX3050]","https://els.id/acer-swift-x-sfx14-41g-r1l1-blue-ryzen-5-5600u-16gb-ssd-512gb-rtx3050.html","Acer Swift X SFX14-41G-R1L1 - Blue [Ryzen 5 5600U-16GB-SSD 512GB-RTX3050]","IDR14,399,000"
"1645362344-1","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","PC SERVER Dell T40 - Quad Core E-2224G [Intel Xeon-1x Gigabit LAN-8GB4-1TB-KB + Mouse USB]","https://els.id/pc-server-dell-t40-quad-core-e-2224g-intel-xeon-1x-gigabit-lan-8gb4-1tb-kb-mouse-usb.html","PC SERVER Dell T40 - Quad Core E-2224G [Intel Xeon-1x Gigabit LAN-8GB4-1TB-KB + Mouse USB]","IDR10,199,000"
"1645362561-90","https://els.id","Personal Computer","https://els.id/personal-computer.html","Laptop Mainstream","https://els.id/laptop/laptop-mainstream.html","MSI Modern 14-B11MOU-1059ID - Carbon Grey [i7 1195G7-8GB-SSD 512GB]","https://els.id/msi-modern-14-b11mou-1059id-carbon-grey-i7-1195g7-8gb-ssd-512gb.html","MSI Modern 14-B11MOU-1059ID - Carbon Grey [i7 1195G7-8GB-SSD 512GB]","IDR11,699,000"
"1645362352-4","https://els.id","Personal Computer","https://els.id/personal-computer.html","Tower PC","https://els.id/personal-computer/tower-pc.html","Tower Asus S500TC-541020013W i5-10400 (LED 20' VX207DE)","https://els.id/tower-asus-s500tc-541020013w-i5-10400-led-20-vx207de.html","Tower Asus S500TC-541020013W i5-10400 (LED 20' VX207DE)","IDR10,099,000"
